original_composition,status,material_id,e_above_hull,saved_filename
Li1.15Fe0.15Ti1.85(PO4)3,Success,mp-1222972,0.0,Li1.15Fe0.15Ti1.85(PO4)3_mp-1222972.cif
LiHfTi(PO4)3,Not Found,,,
Li0.2Zr1.2Nb0.8(PO4)3,Not Found,,,
Li1.6Ga0.6Ti1.4(PO4)3,Not Found,,,
Li1.2Sc0.2Ti1.8(PO4)3,Success,mp-695286,0.628393627136075,Li1.2Sc0.2Ti1.8(PO4)3_mp-695286.cif
Li1.8Sc0.8Ti1.2(PO4)3,Success,mp-695286,0.628393627136075,Li1.8Sc0.8Ti1.2(PO4)3_mp-695286.cif
Li1.3Sc0.3Ti1.7(PO4)3,Success,mp-695286,0.628393627136075,Li1.3Sc0.3Ti1.7(PO4)3_mp-695286.cif
Li1.1Sc0.1Ti1.9(PO4)3,Success,mp-695286,0.628393627136075,Li1.1Sc0.1Ti1.9(PO4)3_mp-695286.cif
Li1.2Sc0.2Ti1.6Zr0.2(PO4)3,Not Found,,,
Li1.3In0.3Hf1.7(PO4)3,Not Found,,,
LiTi0.2Zr1.8(PO4)3,Not Found,,,
Li1.2Sc0.2Ti0.2Zr1.5(PO4)3,Not Found,,,
LiTi1.8Zr0.2(PO4)3,Not Found,,,
LiTi0.5Zr1.5(PO4)3,Not Found,,,
LiTiZr(PO4)3,Not Found,,,
LiTi0.1Zr1.9(PO4)3,Not Found,,,
Li1.2Al1.1Ta0.9(PO4)3,Not Found,,,
LiAlTa(PO4)3,Not Found,,,
Li1.5Cr0.5Ti1.5(PO4)3,Success,mp-1223017,0.0,Li1.5Cr0.5Ti1.5(PO4)3_mp-1223017.cif
Li1.6Cr0.6Ti1.4(PO4)3,Success,mp-1223017,0.0,Li1.6Cr0.6Ti1.4(PO4)3_mp-1223017.cif
Li1.3Cr0.3Ti1.7 (PO4)3,Success,mp-1223017,0.0,Li1.3Cr0.3Ti1.7 (PO4)3_mp-1223017.cif
Li1.3Cr0.3Ge1.7(PO4)3,Not Found,,,
Li3Al0.4Sc1.6(PO4)3,Not Found,,,
Li1.2Fe0.2Hf1.8(PO4)3,Not Found,,,
Li1.2In0.2Hf1.8(PO4)3,Not Found,,,
Li1.4In0.4Hf1.6(PO4)3,Not Found,,,
Li1.1Fe0.1Hf1.9(PO4)3,Not Found,,,
Li1.2Lu0.2Hf1.8(PO4)3,Not Found,,,
Li1.2Y0.2Hf1.8(PO4)3,Not Found,,,
Li1.1Y0.1Hf1.9(PO4)3,Not Found,,,
Li1.2Sc0.2Hf1.8(PO4)3,Not Found,,,
Li1.3Sc0.3Hf1.7(PO4)3,Not Found,,,
Li1.1Lu0.1Hf1.9(PO4)3,Not Found,,,
Li1.4Y0.4Hf1.6(PO4)3,Not Found,,,
Li1.4Sc0.4Hf1.6(PO4)3,Not Found,,,
Li1.3Fe0.3Hf1.7(PO4)3,Not Found,,,
Li1.3Lu0.3Hf1.7(PO4)3,Not Found,,,
Li1.3Y0.3Hf1.7(PO4)3,Not Found,,,
Li1.1Sc0.1Hf1.9(PO4)3,Not Found,,,
Li1.4Lu0.4Hf1.6(PO4)3,Not Found,,,
Li1.1In0.1Hf1.9(PO4)3,Not Found,,,
Li1.3Cr0.3Hf1.7(PO4)3,Not Found,,,
Li1.2Cr0.2Hf1.8(PO4)3,Not Found,,,
Li1.5Cr0.5Hf1.5(PO4)3,Not Found,,,
Li1.1Cr0.1Hf1.9(PO4)3,Not Found,,,
Li1.3Eu0.3Ti1.7(PO4)3,Not Found,,,
LiZr2(PO4)3,Success,mp-10499,0.0,LiZr2(PO4)3_mp-10499.cif
LiHf2(PO4)3,Not Found,,,
Li1.15Y0.15Zr1.85(PO4)3,Not Found,,,
Li1.02Zr1.98Y0.02(PO4)3,Not Found,,,
Li0.9Zr1.9Nb0.1(PO4)3,Not Found,,,
Li0.98Zr1.98Nb0.02(PO4)3,Not Found,,,
Li1.3Al0.2Y0.1Ti1.7(PO4)3,Not Found,,,
Li1.3Al0.1Y0.2Ti1.7(PO4)3,Not Found,,,
Li1.3Al0.15Y0.15Ti1.7(PO4)3,Not Found,,,
Li1.4Al0.4Ge0.2Ti1.4(PO4)3,Not Found,,,
Li1.4Al0.4Ge1.2Ti0.4(PO4)3,Not Found,,,
Li1.4Al0.4Ge1.6(PO4)3,Not Found,,,
Li2InTi(PO4)3,Success,mp-683616,0.008645864486304,Li2InTi(PO4)3_mp-683616.cif
Li2CrZr(PO4)3,Not Found,,,
Li2CrTi(PO4)3,Success,mp-1223017,0.0,Li2CrTi(PO4)3_mp-1223017.cif
Li2FeTi(PO4)3,Success,mp-1222972,0.0,Li2FeTi(PO4)3_mp-1222972.cif
Li2FeZr(PO4)3,Success,mp-766132,0.0030173771052620004,Li2FeZr(PO4)3_mp-766132.cif
Li2InZr(PO4)3,Not Found,,,
Li2InHf(PO4)3,Not Found,,,
Li1.7Al0.7Ge1.3(PO4)3,Not Found,,,
Li1.6Al0.6Ge1.4(PO4)3,Not Found,,,
Li1.3Al0.3Ge1.7(PO4)3,Not Found,,,
Li1.7Al0.7Ti1.3(PO4)3,Not Found,,,
Li1.1Al0.1Ti1.9(PO4)3,Not Found,,,
Li1.1Al0.1Ge1.9(PO4)3,Not Found,,,
Li1.5Al0.5Ti1.5(PO4)3,Not Found,,,
Li1.05Al0.05Ti1.95(PO4),Not Found,,,
Li1.6Al0.6Ge0.8Ti0.6(PO4)3,Not Found,,,
Li1.4Al0.4Ge1.0Ti0.6(PO4)3,Not Found,,,
Li1.8Al0.8Ge0.8Ti0.4(PO4)3,Not Found,,,
Li1.4Al0.4Ge0.8Ti0.8(PO4)3,Not Found,,,
Li1.6Al0.6Ge1.0Ti0.4(PO4)3,Not Found,,,
Li1.2Al0.2Ge0.8Ti(PO4)3,Not Found,,,
Li1.2Al0.2Ge1.0Ti0.8(PO4)3,Not Found,,,
Li1.8Al0.8Ge1.0Ti0.2(PO4)3,Not Found,,,
LiCrSb(PO4)3,Success,mp-758334,0.06380648881249701,LiCrSb(PO4)3_mp-758334.cif
LiAlSb(PO4)3,Not Found,,,
LiFeSb(PO4)3,Success,mp-776746,0.013280760899127001,LiFeSb(PO4)3_mp-776746.cif
Li1.2Y0.2Ti1.8(PO4)3,Not Found,,,
Li1.4Y0.4Ti1.6(PO4)3,Not Found,,,
Li1.3Y0.3Ti1.7(PO4)3,Not Found,,,
Li1.2Fe0.2Ti1.8(PO4)3,Success,mp-1222972,0.0,Li1.2Fe0.2Ti1.8(PO4)3_mp-1222972.cif
Li1.4Sc0.4Ti1.6(PO4)3,Success,mp-695286,0.628393627136075,Li1.4Sc0.4Ti1.6(PO4)3_mp-695286.cif
Li1.2In0.2Ti1.8(PO4)3,Success,mp-683616,0.008645864486304,Li1.2In0.2Ti1.8(PO4)3_mp-683616.cif
Li1.4Fe0.4Ti1.6(PO4)3,Success,mp-1222972,0.0,Li1.4Fe0.4Ti1.6(PO4)3_mp-1222972.cif
Li1.4In0.4Ti1.6(PO4)3,Success,mp-683616,0.008645864486304,Li1.4In0.4Ti1.6(PO4)3_mp-683616.cif
Li1.5In0.5Ti1.5(PO4)3,Success,mp-683616,0.008645864486304,Li1.5In0.5Ti1.5(PO4)3_mp-683616.cif
Li1.5Fe0.5Ti1.5(PO4)3,Success,mp-1222972,0.0,Li1.5Fe0.5Ti1.5(PO4)3_mp-1222972.cif
Li1.4Cr0.4Ti1.6(PO4)3,Success,mp-1223017,0.0,Li1.4Cr0.4Ti1.6(PO4)3_mp-1223017.cif
Li1.5Y0.5Ti1.5(PO4)3,Not Found,,,
Li1.2Cr0.2Ti1.8(PO4)3,Success,mp-1223017,0.0,Li1.2Cr0.2Ti1.8(PO4)3_mp-1223017.cif
Li1.2La0.2Ti1.8(PO4)3,Not Found,,,
