original_composition,status,material_id,e_above_hull,saved_filename
Li6.2La3Zr1.2Sb0.8O12 ,Not Found,,,
Li6La3ZrSbO12 ,Not Found,,,
Li6.8La3Zr1.8Sb0.2O12 ,Not Found,,,
Li5La3Ta2O12 ,Success,mp-559776,0.294818232386356,Li5La3Ta2O12_mp-559776.cif
Li6BaLa2Nb2O12 ,Not Found,,,
Li6SrLa2Nb2O12 ,Success,mp-686239,0.103866922356648,Li6SrLa2Nb2O12_mp-686239.cif
Li6CaLa2Nb2O12,Success,mp-695291,0.116891643897816,Li6CaLa2Nb2O12_mp-695291.cif
Li6.75La3Zr1.75Ta0.25O12 ,Not Found,,,
Li10SiP2S12,Success,mp-720509,0.006719743,Li10SiP2S12_mp-720509.cif
Li5.4La3Nb1.8Y0.75O12,Not Found,,,
"""(Li2O)50 (Al2O5)5 (P2O5)45""",Not Found,,,
"""(Li2O)50 (P2O5)50""",Not Found,,,
"""(Li2S)9(LaOI)""",Not Found,,,
"""(AgI)0.5(LiPO3)0.5""",Not Found,,,
"""(Li2S)2(LaOI)5""",Not Found,,,
"""(Li2S)(LaOI)""",Not Found,,,
Li3.9Zn0.05GeS4,Success,mp-1210804,0.0,Li3.9Zn0.05GeS4_mp-1210804.cif
Li1.6Ti1.7Mg0.3P3O12,Not Found,,,
"""(Li2S)7(LaOI)3""",Not Found,,,
"""(Li0.5La0.5TiO3)94(SiO2)6""",Not Found,,,
"""(Li0.5La0.5TiO3)97(SiO2)3""",Not Found,,,
"""(Li0.5La0.5TiO3)95(SiO2)5""",Not Found,,,
Li4.275Ge0.61Ga0.25S4,Success,mp-554782,0.035432831306818,Li4.275Ge0.61Ga0.25S4_mp-554782.cif
Li1.4Ti1.6In0.4P3O12,Success,mp-683616,0.008645864486304,Li1.4Ti1.6In0.4P3O12_mp-683616.cif
Li1.8Cr0.8Ti1.2(PO4)3,Success,mp-1223017,0.0,Li1.8Cr0.8Ti1.2(PO4)3_mp-1223017.cif
"""((Li2S)0.6 (SiS2)0.4 )95 (Li4SiO4)5""",Not Found,,,
Li6La2Ca(Nb)2O12,Success,mp-695291,0.116891643897816,Li6La2Ca(Nb)2O12_mp-695291.cif
Li6MgLa2Ta2O12,Not Found,,,
Li4.4Al0.4Ge0.6S4,Not Found,,,
Li4.4Al0.4Sn0.6S4,Not Found,,,
Li4.4Ga0.4Ge0.6S4,Success,mp-554782,0.035432831306818,Li4.4Ga0.4Ge0.6S4_mp-554782.cif
Li4.4Ga0.4Sn0.6S4,Not Found,,,
Li5AlS4,Success,mp-1106183,0.0,Li5AlS4_mp-1106183.cif
LiMgPO4,Success,mp-9625,0.0,LiMgPO4_mp-9625.cif
Li0.95Mg0.95In0.05PO4,Not Found,,,
Li0.9Mg0.9In0.1PO4,Not Found,,,
Li0.85Mg0.85In0.15PO4,Not Found,,,
Li0.83Mg0.83In0.17PO4,Not Found,,,
Li3AlS3,Success,mp-1106183,0.0,Li3AlS3_mp-1106183.cif
Li6SiO4Cl2,Not Found,,,
LiTa2PO8,Not Found,,,
Li0.022 La0.118 Ti0.2 Al0.004 O0.631,Not Found,,,
Li2ZrS3,Success,mp-1222722,0.0,Li2ZrS3_mp-1222722.cif
Li0.022 La0.115 Ti0.165 Al0.055 O0.618,Not Found,,,
(YPO4)0.8(Li3PO4)0.2,Success,mp-556861,0.0046906437731550005,(YPO4)0.8(Li3PO4)0.2_mp-556861.cif
 Li0.8La0.066Zr2(PO4)3,Not Found,,,
Li3.09BO2.53N0.52,Not Found,,,
Li5Nd3Sb2O12,Not Found,,,
Li5La3Sb2O12,Success,mp-775628,0.056708977840909,Li5La3Sb2O12_mp-775628.cif
LiAlSi2O6,Success,mp-1222469,0.0016197218333360002,LiAlSi2O6_mp-1222469.cif
"""(Li2O)16.6 (SiO2)83.4""",Not Found,,,
Li3Fe2P3O12,Success,mp-25993,0.005395784999999,Li3Fe2P3O12_mp-25993.cif
Li2.9Sc1.9Zr0.1(PO4)3,Not Found,,,
Li1.9Mg0.1TiO3.05,Success,mp-774752,0.0,Li1.9Mg0.1TiO3.05_mp-774752.cif
(YPO4)0.9(Li3PO4)0.1,Success,mp-556861,0.0046906437731550005,(YPO4)0.9(Li3PO4)0.1_mp-556861.cif
(YPO4)0.7(Li3PO4)0.3,Success,mp-556861,0.0046906437731550005,(YPO4)0.7(Li3PO4)0.3_mp-556861.cif
(YPO4)0.5(Li3PO4)0.5,Success,mp-556861,0.0046906437731550005,(YPO4)0.5(Li3PO4)0.5_mp-556861.cif
LiGaSiO4,Success,mp-18147,0.0,LiGaSiO4_mp-18147.cif
Li0.68Ga0.68Si2.33O6,Success,mp-16996,0.0,Li0.68Ga0.68Si2.33O6_mp-16996.cif
Li0.96Ga0.96Si2.04O6,Success,mp-16996,0.0,Li0.96Ga0.96Si2.04O6_mp-16996.cif
Li4Al0.33Si0.33P0.33O4,Not Found,,,
Li4Al0.33Si0.17Ge0.17P0.33O4,Not Found,,,
Li4.25Si0.75Al0.25O4,Success,mp-1020023,0.0,Li4.25Si0.75Al0.25O4_mp-1020023.cif
Li3.75Si0.75P0.25O4,Success,mp-1239225,0.06590102264705801,Li3.75Si0.75P0.25O4_mp-1239225.cif
LiCaTiNbO6,Not Found,,,
Li3Cr(MoO4)3,Success,mp-1191696,0.016150373749999,Li3Cr(MoO4)3_mp-1191696.cif
Li2Mg2(MoO4)3,Not Found,,,
Li3Fe(MoO4)3,Success,mp-1222986,0.01784787967105,Li3Fe(MoO4)3_mp-1222986.cif
Li6FeCl8,Success,mp-28828,0.038830568999999,Li6FeCl8_mp-28828.cif
Li4.8Si0.2Al0.8S4,Not Found,,,
Li3.6Ge0.4P0.6S4,Success,mp-696138,0.0187605339,Li3.6Ge0.4P0.6S4_mp-696138.cif
Li3.35Ge0.35P0.65S4,Success,mp-696138,0.0187605339,Li3.35Ge0.35P0.65S4_mp-696138.cif
Li6NiCl8,Success,mp-1211124,0.0,Li6NiCl8_mp-1211124.cif
Li6CoCl8,Success,mp-505391,0.030867146666667,Li6CoCl8_mp-505391.cif
LiF,Success,mp-1138,0.0,LiF_mp-1138.cif
